#{"t_start": 1775967236.1997368, "env_id": "FetchReach-v4"}
r,l,t
-17.0,50,226.767538
-7.0,50,227.26087
-7.0,50,227.753599
0.0,50,228.243561
-26.0,50,228.735302
-2.0,50,229.23239
-1.0,50,229.727008
-14.0,50,230.228944
-7.0,50,230.739378
-50.0,50,231.254719
-3.0,50,231.757678
-5.0,50,232.262332
-3.0,50,232.775953
-2.0,50,233.291944
-25.0,50,233.811338
0.0,50,234.327187
-2.0,50,234.858559
-9.0,50,235.397729
-1.0,50,235.940915
-3.0,50,236.455344
-3.0,50,237.016316
-3.0,50,237.54601
-2.0,50,238.055813
-2.0,50,238.571754
-50.0,50,239.091667
-22.0,50,239.605486
-1.0,50,240.117966
-2.0,50,240.628456
-1.0,50,241.163506
-13.0,50,241.691316
-3.0,50,242.198852
-3.0,50,242.708548
-2.0,50,243.219381
-4.0,50,243.740836
-31.0,50,244.254549
-10.0,50,244.763832
-1.0,50,245.278362
-2.0,50,245.796532
0.0,50,246.330958
-1.0,50,246.846888
-5.0,50,247.364383
-1.0,50,247.877786
0.0,50,248.383131
-24.0,50,248.900578
-45.0,50,249.45245
-4.0,50,250.014253
-7.0,50,250.595296
-3.0,50,251.13848
-5.0,50,251.672993
-5.0,50,252.204184
-3.0,50,252.745623
-2.0,50,253.25729
-1.0,50,253.77825
-17.0,50,254.289225
-3.0,50,254.807803
-3.0,50,255.336198
-4.0,50,255.853878
-17.0,50,256.364131
-3.0,50,256.872029
0.0,50,257.37845
-50.0,50,257.901398
-3.0,50,258.408695
-7.0,50,258.901621
-3.0,50,259.411214
0.0,50,259.91726
-8.0,50,260.414592
-33.0,50,260.90551
-28.0,50,261.404562
-2.0,50,261.907891
-3.0,50,262.416459
-10.0,50,262.918253
-1.0,50,263.418797
-3.0,50,263.933761
-4.0,50,264.433457
-2.0,50,264.934564
-19.0,50,265.435876
-2.0,50,265.937923
-3.0,50,266.436208
-50.0,50,266.948613
-2.0,50,267.450892
-40.0,50,267.957289
-4.0,50,268.457698
-3.0,50,268.95799
-2.0,50,269.453853
-1.0,50,269.947855
-1.0,50,270.444737
-11.0,50,270.936611
-3.0,50,271.457904
-2.0,50,271.961315
-4.0,50,272.461296
-8.0,50,272.957233
-3.0,50,273.465323
-1.0,50,273.958325
-10.0,50,274.459804
-50.0,50,274.954391
-2.0,50,275.451725
-3.0,50,275.958307
-4.0,50,276.449679
-2.0,50,277.012564
-32.0,50,277.573914
-3.0,50,278.114313
-3.0,50,278.635
-7.0,50,279.156435
-16.0,50,279.668502
-1.0,50,280.191553
-3.0,50,280.71759
-2.0,50,281.235254
-2.0,50,281.738179
-2.0,50,282.231504
-2.0,50,282.737285
-1.0,50,283.233782
-2.0,50,283.755007
-3.0,50,284.303616
-3.0,50,284.813597
-3.0,50,285.326213
-4.0,50,285.858489
-1.0,50,286.377031
-47.0,50,286.888186
-3.0,50,287.379211
-13.0,50,287.884079
-2.0,50,288.387351
-11.0,50,288.891436
-6.0,50,289.382704
-3.0,50,289.879614
-26.0,50,290.383372
-4.0,50,290.877221
0.0,50,291.387881
-4.0,50,291.904508
-2.0,50,292.418763
-2.0,50,292.934849
-2.0,50,293.485332
-3.0,50,294.012487
-43.0,50,294.543912
-35.0,50,295.068985
0.0,50,295.583779
-3.0,50,296.096209
-2.0,50,296.60788
-3.0,50,297.123495
-3.0,50,297.64558
-2.0,50,298.183289
-4.0,50,298.708744
-2.0,50,299.222226
-48.0,50,299.742063
-2.0,50,300.263101
-3.0,50,300.783587
0.0,50,301.294672
-3.0,50,301.805995
-44.0,50,302.316222
0.0,50,302.817044
-3.0,50,303.318681
-4.0,50,303.825881
-9.0,50,304.326745
-2.0,50,304.829051
-3.0,50,305.346781
-2.0,50,305.844913
-2.0,50,306.344901
-12.0,50,307.340859
-3.0,50,307.852267
-2.0,50,308.343706
-3.0,50,308.844661
-12.0,50,309.344157
-7.0,50,309.848772
-2.0,50,310.357712
-1.0,50,310.855172
-33.0,50,311.366335
-3.0,50,311.863667
-1.0,50,312.355936
-1.0,50,312.850102
-1.0,50,313.344747
-4.0,50,313.884728
-3.0,50,314.394447
-7.0,50,314.904459
-1.0,50,315.415328
-3.0,50,315.933152
-2.0,50,316.458732
-43.0,50,316.992819
-1.0,50,317.536344
-2.0,50,318.087114
-5.0,50,318.619711
0.0,50,319.149515
-2.0,50,319.716437
-50.0,50,320.31204
-2.0,50,320.844101
-4.0,50,321.359481
-43.0,50,321.880187
-2.0,50,322.392864
-25.0,50,322.909038
-6.0,50,323.434254
-4.0,50,323.945641
-4.0,50,324.462679
-29.0,50,324.983371
-4.0,50,325.487051
-31.0,50,326.002264
-50.0,50,326.534936
-1.0,50,327.103629
-2.0,50,327.631515
-2.0,50,328.166961
-20.0,50,328.684886
-3.0,50,329.213019
-2.0,50,329.731982
-36.0,50,330.263214
-4.0,50,330.786091
-50.0,50,331.315962
-14.0,50,331.832721
-1.0,50,332.355364
-5.0,50,332.872162
0.0,50,333.379856
-2.0,50,333.876011
-45.0,50,334.377308
-6.0,50,334.880651
-4.0,50,335.382877
-2.0,50,335.95386
-35.0,50,336.478546
-2.0,50,336.995863
-3.0,50,337.511075
-5.0,50,338.026686
-20.0,50,338.54089
-2.0,50,339.058921
-37.0,50,339.580637
-3.0,50,340.101022
0.0,50,340.606063
-3.0,50,341.114086
-47.0,50,341.608526
-4.0,50,342.108092
-50.0,50,342.601089
-31.0,50,343.12986
-4.0,50,343.648568
-3.0,50,344.171087
-2.0,50,344.683765
-10.0,50,345.1954
-46.0,50,345.717041
-28.0,50,346.234337
-50.0,50,346.752268
-50.0,50,347.263625
0.0,50,347.784519
-6.0,50,348.295402
-2.0,50,348.809169
-2.0,50,349.329456
-3.0,50,349.83579
-39.0,50,350.350639
-3.0,50,350.856718
-2.0,50,351.35846
-3.0,50,351.861509
-50.0,50,352.364723
-50.0,50,352.860574
-3.0,50,353.355045
-5.0,50,353.851734
0.0,50,354.346644
-17.0,50,354.852404
-3.0,50,355.345714
0.0,50,355.844758
-1.0,50,356.346285
-6.0,50,356.862456
-6.0,50,357.358691
-2.0,50,357.860483
-1.0,50,358.361952
-48.0,50,358.864644
-2.0,50,359.373232
-3.0,50,359.877113
-4.0,50,360.389626
-5.0,50,360.889585
-40.0,50,361.395495
-6.0,50,361.894112
-2.0,50,362.405077
-30.0,50,362.960096
-2.0,50,363.484579
-22.0,50,364.005734
-3.0,50,364.519494
-7.0,50,365.040421
-10.0,50,365.542539
-1.0,50,366.04864
-2.0,50,366.553741
-3.0,50,367.059287
-50.0,50,367.573095
-45.0,50,368.082781
-40.0,50,368.601445
-4.0,50,369.115294
-21.0,50,369.615433
-11.0,50,370.113432
-4.0,50,370.616586
-19.0,50,371.123385
-1.0,50,371.627579
-1.0,50,372.123876
-4.0,50,372.620486
-3.0,50,373.127258
-3.0,50,373.619237
-50.0,50,374.112076
-2.0,50,374.610691
-33.0,50,375.125741
-3.0,50,375.629547
-6.0,50,376.146591
-24.0,50,376.647171
-2.0,50,377.166278
-2.0,50,377.683249
-1.0,50,378.195626
0.0,50,378.692668
-6.0,50,379.196451
0.0,50,379.698297
-10.0,50,380.202563
-15.0,50,380.707887
-50.0,50,381.225312
-30.0,50,381.74124
-2.0,50,382.263095
-3.0,50,382.794992
-1.0,50,383.314745
-1.0,50,383.83529
-1.0,50,384.346393
-50.0,50,384.872066
-42.0,50,385.382459
-24.0,50,385.882951
-3.0,50,386.398359
-3.0,50,386.896471
-2.0,50,387.389346
-3.0,50,387.893766
-40.0,50,388.407018
-22.0,50,388.909151
-2.0,50,389.433103
-16.0,50,389.950486
-3.0,50,390.465575
0.0,50,390.980362
-5.0,50,391.477884
-40.0,50,391.979422
-1.0,50,392.474543
-22.0,50,392.9712
-9.0,50,393.47002
-36.0,50,393.973688
-12.0,50,394.476974
-4.0,50,394.986264
-3.0,50,395.494826
-50.0,50,396.043833
-1.0,50,396.566568
-3.0,50,397.063152
-2.0,50,397.560397
-3.0,50,398.054718
-3.0,50,398.561247
-5.0,50,399.056572
-13.0,50,399.557802
-3.0,50,400.05298
-8.0,50,400.550934
-17.0,50,401.056376
-14.0,50,401.564452
-2.0,50,402.072377
-6.0,50,402.596087
-6.0,50,403.132704
-4.0,50,403.63363
-15.0,50,404.139754
-3.0,50,404.647016
-16.0,50,405.154284
-3.0,50,405.659892
-13.0,50,406.163788
-2.0,50,406.661529
-2.0,50,407.171868
-1.0,50,407.67655
-2.0,50,408.172689
-2.0,50,408.670419
-11.0,50,409.165192
-5.0,50,410.198284
-3.0,50,410.700815
-3.0,50,411.222255
0.0,50,411.729491
-4.0,50,412.237474
-1.0,50,412.743779
-3.0,50,413.25259
-3.0,50,413.767414
-18.0,50,414.304202
-4.0,50,414.831284
-43.0,50,415.337155
-3.0,50,415.845348
0.0,50,416.383816
-49.0,50,416.886454
-18.0,50,417.385674
-20.0,50,417.886093
-21.0,50,418.387744
-1.0,50,418.904855
-25.0,50,419.444675
-7.0,50,419.961
-18.0,50,420.475509
-4.0,50,420.993126
-6.0,50,421.515405
-5.0,50,422.029043
-3.0,50,422.541861
-33.0,50,423.075376
-2.0,50,423.583153
-1.0,50,424.077236
-3.0,50,424.581815
-38.0,50,425.077924
-9.0,50,425.586539
-21.0,50,426.09229
-7.0,50,426.597139
-3.0,50,427.099309
-4.0,50,427.594891
-2.0,50,428.086383
-4.0,50,428.58077
-13.0,50,429.081761
-5.0,50,429.583087
-3.0,50,430.108121
-2.0,50,430.606962
-2.0,50,431.118375
-3.0,50,431.614463
-3.0,50,432.11013
-1.0,50,432.605608
-3.0,50,433.105767
-6.0,50,433.599036
-4.0,50,434.098322
-3.0,50,434.592331
-5.0,50,435.085178
-6.0,50,435.58358
-36.0,50,436.07981
-3.0,50,436.606551
-1.0,50,437.171763
-2.0,50,437.690944
-11.0,50,438.193988
-36.0,50,438.691628
-3.0,50,439.192575
-1.0,50,439.725185
-3.0,50,440.239284
-23.0,50,440.752315
-3.0,50,441.268687
-2.0,50,441.793833
-28.0,50,442.312724
0.0,50,442.831201
-4.0,50,443.378973
-11.0,50,443.892889
-41.0,50,444.417717
-5.0,50,444.930974
-3.0,50,445.455372
